menuId,usuarioId,fecha,alimentoId,nombreAlimento,cantidadGramos,tiempoComida,calorias,proteinas,carbohidratos,grasas
1,1,2025-01-12,18,Huevo entero,250,Desayuno,387.5,32.5,2.75,27.5
1,1,2025-01-12,4,Pan integral,150,Desayuno,370.5,19.5,61.5,5.1
1,1,2025-01-12,2,Arroz integral cocido,250,Almuerzo,280.0,6.5,58.75,2.25
1,1,2025-01-12,42,Espinaca,200,Almuerzo,46.0,5.8,7.2,0.8
1,1,2025-01-12,44,Tomate,250,Almuerzo,45.0,2.25,9.75,0.5
1,1,2025-01-12,1,Arroz blanco cocido,200,Cena,260.0,5.4,56.4,0.6
2,1,2025-01-18,21,Leche entera,100,Desayuno,61.0,3.2,4.8,3.3
2,1,2025-01-18,42,Espinaca,100,Almuerzo,23.0,2.9,3.6,0.4
2,1,2025-01-18,11,Pechuga de pollo,200,Almuerzo,330.0,62.0,0.0,7.2
2,1,2025-01-18,41,Brócoli,150,Almuerzo,51.0,4.2,9.9,0.6
2,1,2025-01-18,16,Salmón,200,Cena,416.0,40.0,0.0,26.0
2,1,2025-01-18,56,Mantequilla de mani,30,MeriendaTarde,176.4,7.5,6.0,15.0
3,1,2025-01-23,32,Banano,150,Desayuno,133.5,1.65,34.5,0.45
3,1,2025-01-23,2,Arroz integral cocido,150,Almuerzo,168.0,3.9,35.25,1.35
3,1,2025-01-23,1,Arroz blanco cocido,250,Almuerzo,325.0,6.75,70.5,0.75
3,1,2025-01-23,13,Carne molida res 90%,200,Cena,352.0,52.0,0.0,16.0
3,1,2025-01-23,6,Pasta cocida,100,Cena,158.0,5.8,31.0,0.9
4,1,2025-01-26,23,Yogur natural,200,Desayuno,118.0,20.0,7.2,0.8
4,1,2025-01-26,42,Espinaca,150,Almuerzo,34.5,4.35,5.4,0.6
4,1,2025-01-26,16,Salmón,100,Almuerzo,208.0,20.0,0.0,13.0
4,1,2025-01-26,48,Aguacate,150,Cena,240.0,3.0,13.5,22.5
4,1,2025-01-26,32,Banano,100,MeriendaTarde,89.0,1.1,23.0,0.3
5,1,2025-01-28,31,Manzana,150,Desayuno,78.0,0.45,21.0,0.3
5,1,2025-01-28,5,Avena en hojuelas,150,Desayuno,583.5,25.5,99.0,10.5
5,1,2025-01-28,2,Arroz integral cocido,150,Almuerzo,168.0,3.9,35.25,1.35
5,1,2025-01-28,44,Tomate,200,Almuerzo,36.0,1.8,7.8,0.4
5,1,2025-01-28,42,Espinaca,150,Almuerzo,34.5,4.35,5.4,0.6
5,1,2025-01-28,42,Espinaca,100,Cena,23.0,2.9,3.6,0.4
5,1,2025-01-28,56,Mantequilla de mani,30,MeriendaTarde,176.4,7.5,6.0,15.0
6,1,2025-01-30,31,Manzana,200,Desayuno,104.0,0.6,28.0,0.4
6,1,2025-01-30,18,Huevo entero,100,Desayuno,155.0,13.0,1.1,11.0
6,1,2025-01-30,6,Pasta cocida,100,Almuerzo,158.0,5.8,31.0,0.9
6,1,2025-01-30,2,Arroz integral cocido,300,Almuerzo,336.0,7.8,70.5,2.7
6,1,2025-01-30,13,Carne molida res 90%,100,Almuerzo,176.0,26.0,0.0,8.0
6,1,2025-01-30,6,Pasta cocida,150,Cena,237.0,8.7,46.5,1.35
6,1,2025-01-30,48,Aguacate,150,Cena,240.0,3.0,13.5,22.5
6,1,2025-01-30,51,Almendras,30,MeriendaTarde,173.7,6.3,6.6,15.0
7,1,2025-02-01,23,Yogur natural,100,Desayuno,59.0,10.0,3.6,0.4
7,1,2025-02-01,21,Leche entera,150,Desayuno,91.5,4.8,7.2,4.95
7,1,2025-02-01,15,Atún en agua,250,Almuerzo,290.0,65.0,0.0,2.5
7,1,2025-02-01,16,Salmón,150,Almuerzo,312.0,30.0,0.0,19.5
7,1,2025-02-01,6,Pasta cocida,200,Cena,316.0,11.6,62.0,1.8
7,1,2025-02-01,41,Brócoli,150,Cena,51.0,4.2,9.9,0.6
8,1,2025-02-02,18,Huevo entero,250,Desayuno,387.5,32.5,2.75,27.5
8,1,2025-02-02,33,Naranja,200,Desayuno,94.0,1.8,24.0,0.2
8,1,2025-02-02,2,Arroz integral cocido,200,Almuerzo,224.0,5.2,47.0,1.8
8,1,2025-02-02,41,Brócoli,100,Almuerzo,34.0,2.8,6.6,0.4
8,1,2025-02-02,16,Salmón,300,Almuerzo,624.0,60.0,0.0,39.0
8,1,2025-02-02,41,Brócoli,150,Cena,51.0,4.2,9.9,0.6
8,1,2025-02-02,42,Espinaca,200,Cena,46.0,5.8,7.2,0.8
9,1,2025-02-17,23,Yogur natural,250,Desayuno,147.5,25.0,9.0,1.0
9,1,2025-02-17,19,Clara de huevo,150,Desayuno,78.0,16.5,1.05,0.3
9,1,2025-02-17,16,Salmón,250,Almuerzo,520.0,50.0,0.0,32.5
9,1,2025-02-17,41,Brócoli,200,Almuerzo,68.0,5.6,13.2,0.8
9,1,2025-02-17,11,Pechuga de pollo,150,Almuerzo,247.5,46.5,0.0,5.4
9,1,2025-02-17,11,Pechuga de pollo,150,Cena,247.5,46.5,0.0,5.4
9,1,2025-02-17,41,Brócoli,200,Cena,68.0,5.6,13.2,0.8
10,1,2025-02-18,4,Pan integral,200,Desayuno,494.0,26.0,82.0,6.8
10,1,2025-02-18,11,Pechuga de pollo,250,Almuerzo,412.5,77.5,0.0,9.0
10,1,2025-02-18,16,Salmón,100,Almuerzo,208.0,20.0,0.0,13.0
10,1,2025-02-18,15,Atún en agua,100,Almuerzo,116.0,26.0,0.0,1.0
10,1,2025-02-18,11,Pechuga de pollo,200,Cena,330.0,62.0,0.0,7.2
11,1,2025-02-19,32,Banano,250,Desayuno,222.5,2.75,57.5,0.75
11,1,2025-02-19,13,Carne molida res 90%,250,Almuerzo,440.0,65.0,0.0,20.0
11,1,2025-02-19,16,Salmón,300,Almuerzo,624.0,60.0,0.0,39.0
11,1,2025-02-19,6,Pasta cocida,100,Cena,158.0,5.8,31.0,0.9
11,1,2025-02-19,41,Brócoli,100,Cena,34.0,2.8,6.6,0.4
11,1,2025-02-19,31,Manzana,100,MeriendaTarde,52.0,0.3,14.0,0.2
12,1,2025-02-23,5,Avena en hojuelas,250,Desayuno,972.5,42.5,165.0,17.5
12,1,2025-02-23,15,Atún en agua,150,Almuerzo,174.0,39.0,0.0,1.5
12,1,2025-02-23,42,Espinaca,100,Almuerzo,23.0,2.9,3.6,0.4
12,1,2025-02-23,13,Carne molida res 90%,250,Almuerzo,440.0,65.0,0.0,20.0
12,1,2025-02-23,16,Salmón,150,Cena,312.0,30.0,0.0,19.5
12,1,2025-02-23,48,Aguacate,150,Cena,240.0,3.0,13.5,22.5
13,1,2025-03-04,31,Manzana,250,Desayuno,130.0,0.75,35.0,0.5
13,1,2025-03-04,42,Espinaca,200,Almuerzo,46.0,5.8,7.2,0.8
13,1,2025-03-04,6,Pasta cocida,150,Almuerzo,237.0,8.7,46.5,1.35
13,1,2025-03-04,15,Atún en agua,200,Almuerzo,232.0,52.0,0.0,2.0
13,1,2025-03-04,42,Espinaca,150,Cena,34.5,4.35,5.4,0.6
13,1,2025-03-04,13,Carne molida res 90%,200,Cena,352.0,52.0,0.0,16.0
13,1,2025-03-04,51,Almendras,30,MeriendaTarde,173.7,6.3,6.6,15.0
14,1,2025-03-09,3,Pan blanco,150,Desayuno,397.5,13.5,73.5,4.8
14,1,2025-03-09,42,Espinaca,200,Almuerzo,46.0,5.8,7.2,0.8
14,1,2025-03-09,1,Arroz blanco cocido,250,Almuerzo,325.0,6.75,70.5,0.75
14,1,2025-03-09,2,Arroz integral cocido,100,Almuerzo,112.0,2.6,23.5,0.9
14,1,2025-03-09,11,Pechuga de pollo,200,Cena,330.0,62.0,0.0,7.2
14,1,2025-03-09,1,Arroz blanco cocido,200,Cena,260.0,5.4,56.4,0.6
15,1,2025-03-10,33,Naranja,200,Desayuno,94.0,1.8,24.0,0.2
15,1,2025-03-10,13,Carne molida res 90%,300,Almuerzo,528.0,78.0,0.0,24.0
15,1,2025-03-10,6,Pasta cocida,100,Almuerzo,158.0,5.8,31.0,0.9
15,1,2025-03-10,42,Espinaca,250,Almuerzo,57.5,7.25,9.0,1.0
15,1,2025-03-10,11,Pechuga de pollo,150,Cena,247.5,46.5,0.0,5.4
15,1,2025-03-10,56,Mantequilla de mani,30,MeriendaTarde,176.4,7.5,6.0,15.0
16,1,2025-03-17,4,Pan integral,100,Desayuno,247.0,13.0,41.0,3.4
16,1,2025-03-17,31,Manzana,250,Desayuno,130.0,0.75,35.0,0.5
16,1,2025-03-17,11,Pechuga de pollo,250,Almuerzo,412.5,77.5,0.0,9.0
16,1,2025-03-17,2,Arroz integral cocido,150,Almuerzo,168.0,3.9,35.25,1.35
16,1,2025-03-17,1,Arroz blanco cocido,150,Cena,195.0,4.05,42.3,0.45
16,1,2025-03-17,41,Brócoli,100,Cena,34.0,2.8,6.6,0.4
16,1,2025-03-17,32,Banano,100,MeriendaTarde,89.0,1.1,23.0,0.3
17,1,2025-03-18,21,Leche entera,100,Desayuno,61.0,3.2,4.8,3.3
17,1,2025-03-18,6,Pasta cocida,150,Almuerzo,237.0,8.7,46.5,1.35
17,1,2025-03-18,44,Tomate,300,Almuerzo,54.0,2.7,11.7,0.6
17,1,2025-03-18,11,Pechuga de pollo,200,Cena,330.0,62.0,0.0,7.2
17,1,2025-03-18,32,Banano,100,MeriendaTarde,89.0,1.1,23.0,0.3
18,1,2025-03-20,18,Huevo entero,200,Desayuno,310.0,26.0,2.2,22.0
18,1,2025-03-20,4,Pan integral,100,Desayuno,247.0,13.0,41.0,3.4
18,1,2025-03-20,16,Salmón,150,Almuerzo,312.0,30.0,0.0,19.5
18,1,2025-03-20,11,Pechuga de pollo,100,Almuerzo,165.0,31.0,0.0,3.6
18,1,2025-03-20,13,Carne molida res 90%,150,Almuerzo,264.0,39.0,0.0,12.0
18,1,2025-03-20,11,Pechuga de pollo,150,Cena,247.5,46.5,0.0,5.4
18,1,2025-03-20,13,Carne molida res 90%,200,Cena,352.0,52.0,0.0,16.0
18,1,2025-03-20,32,Banano,100,MeriendaTarde,89.0,1.1,23.0,0.3
19,1,2025-03-21,33,Naranja,150,Desayuno,70.5,1.35,18.0,0.15
19,1,2025-03-21,3,Pan blanco,150,Desayuno,397.5,13.5,73.5,4.8
19,1,2025-03-21,15,Atún en agua,300,Almuerzo,348.0,78.0,0.0,3.0
19,1,2025-03-21,13,Carne molida res 90%,100,Almuerzo,176.0,26.0,0.0,8.0
19,1,2025-03-21,44,Tomate,300,Almuerzo,54.0,2.7,11.7,0.6
19,1,2025-03-21,11,Pechuga de pollo,100,Cena,165.0,31.0,0.0,3.6
19,1,2025-03-21,16,Salmón,100,Cena,208.0,20.0,0.0,13.0
19,1,2025-03-21,33,Naranja,100,MeriendaTarde,47.0,0.9,12.0,0.1
20,1,2025-03-29,19,Clara de huevo,250,Desayuno,130.0,27.5,1.75,0.5
20,1,2025-03-29,3,Pan blanco,250,Desayuno,662.5,22.5,122.5,8.0
20,1,2025-03-29,1,Arroz blanco cocido,150,Almuerzo,195.0,4.05,42.3,0.45
20,1,2025-03-29,15,Atún en agua,300,Almuerzo,348.0,78.0,0.0,3.0
20,1,2025-03-29,41,Brócoli,150,Cena,51.0,4.2,9.9,0.6
20,1,2025-03-29,48,Aguacate,100,Cena,160.0,2.0,9.0,15.0
21,1,2025-03-31,33,Naranja,150,Desayuno,70.5,1.35,18.0,0.15
21,1,2025-03-31,18,Huevo entero,100,Desayuno,155.0,13.0,1.1,11.0
21,1,2025-03-31,16,Salmón,150,Almuerzo,312.0,30.0,0.0,19.5
21,1,2025-03-31,44,Tomate,300,Almuerzo,54.0,2.7,11.7,0.6
21,1,2025-03-31,11,Pechuga de pollo,250,Almuerzo,412.5,77.5,0.0,9.0
21,1,2025-03-31,6,Pasta cocida,100,Cena,158.0,5.8,31.0,0.9
21,1,2025-03-31,32,Banano,100,MeriendaTarde,89.0,1.1,23.0,0.3
22,2,2025-01-01,23,Yogur natural,250,Desayuno,147.5,25.0,9.0,1.0
22,2,2025-01-01,4,Pan integral,100,Desayuno,247.0,13.0,41.0,3.4
22,2,2025-01-01,42,Espinaca,300,Almuerzo,69.0,8.7,10.8,1.2
22,2,2025-01-01,6,Pasta cocida,250,Almuerzo,395.0,14.5,77.5,2.25
22,2,2025-01-01,11,Pechuga de pollo,150,Almuerzo,247.5,46.5,0.0,5.4
22,2,2025-01-01,42,Espinaca,200,Cena,46.0,5.8,7.2,0.8
23,2,2025-01-04,4,Pan integral,250,Desayuno,617.5,32.5,102.5,8.5
23,2,2025-01-04,6,Pasta cocida,150,Almuerzo,237.0,8.7,46.5,1.35
23,2,2025-01-04,13,Carne molida res 90%,300,Almuerzo,528.0,78.0,0.0,24.0
23,2,2025-01-04,6,Pasta cocida,100,Cena,158.0,5.8,31.0,0.9
23,2,2025-01-04,23,Yogur natural,100,MeriendaTarde,59.0,10.0,3.6,0.4
24,2,2025-01-05,23,Yogur natural,100,Desayuno,59.0,10.0,3.6,0.4
24,2,2025-01-05,32,Banano,150,Desayuno,133.5,1.65,34.5,0.45
24,2,2025-01-05,15,Atún en agua,150,Almuerzo,174.0,39.0,0.0,1.5
24,2,2025-01-05,44,Tomate,100,Almuerzo,18.0,0.9,3.9,0.2
24,2,2025-01-05,41,Brócoli,100,Almuerzo,34.0,2.8,6.6,0.4
24,2,2025-01-05,42,Espinaca,100,Cena,23.0,2.9,3.6,0.4
25,2,2025-01-08,19,Clara de huevo,150,Desayuno,78.0,16.5,1.05,0.3
25,2,2025-01-08,13,Carne molida res 90%,150,Almuerzo,264.0,39.0,0.0,12.0
25,2,2025-01-08,1,Arroz blanco cocido,200,Almuerzo,260.0,5.4,56.4,0.6
25,2,2025-01-08,44,Tomate,100,Almuerzo,18.0,0.9,3.9,0.2
25,2,2025-01-08,41,Brócoli,150,Cena,51.0,4.2,9.9,0.6
26,2,2025-01-10,32,Banano,150,Desayuno,133.5,1.65,34.5,0.45
26,2,2025-01-10,19,Clara de huevo,250,Desayuno,130.0,27.5,1.75,0.5
26,2,2025-01-10,1,Arroz blanco cocido,150,Almuerzo,195.0,4.05,42.3,0.45
26,2,2025-01-10,15,Atún en agua,150,Almuerzo,174.0,39.0,0.0,1.5
26,2,2025-01-10,42,Espinaca,100,Cena,23.0,2.9,3.6,0.4
27,2,2025-01-13,23,Yogur natural,150,Desayuno,88.5,15.0,5.4,0.6
27,2,2025-01-13,18,Huevo entero,100,Desayuno,155.0,13.0,1.1,11.0
27,2,2025-01-13,1,Arroz blanco cocido,150,Almuerzo,195.0,4.05,42.3,0.45
27,2,2025-01-13,6,Pasta cocida,150,Almuerzo,237.0,8.7,46.5,1.35
27,2,2025-01-13,1,Arroz blanco cocido,100,Cena,130.0,2.7,28.2,0.3
27,2,2025-01-13,42,Espinaca,200,Cena,46.0,5.8,7.2,0.8
28,2,2025-01-17,23,Yogur natural,100,Desayuno,59.0,10.0,3.6,0.4
28,2,2025-01-17,41,Brócoli,300,Almuerzo,102.0,8.4,19.8,1.2
28,2,2025-01-17,16,Salmón,200,Almuerzo,416.0,40.0,0.0,26.0
28,2,2025-01-17,42,Espinaca,200,Almuerzo,46.0,5.8,7.2,0.8
28,2,2025-01-17,13,Carne molida res 90%,200,Cena,352.0,52.0,0.0,16.0
28,2,2025-01-17,16,Salmón,100,Cena,208.0,20.0,0.0,13.0
29,2,2025-01-20,18,Huevo entero,200,Desayuno,310.0,26.0,2.2,22.0
29,2,2025-01-20,44,Tomate,200,Almuerzo,36.0,1.8,7.8,0.4
29,2,2025-01-20,2,Arroz integral cocido,300,Almuerzo,336.0,7.8,70.5,2.7
29,2,2025-01-20,13,Carne molida res 90%,300,Almuerzo,528.0,78.0,0.0,24.0
29,2,2025-01-20,6,Pasta cocida,150,Cena,237.0,8.7,46.5,1.35
29,2,2025-01-20,56,Mantequilla de mani,30,MeriendaTarde,176.4,7.5,6.0,15.0
30,2,2025-01-22,33,Naranja,200,Desayuno,94.0,1.8,24.0,0.2
30,2,2025-01-22,16,Salmón,100,Almuerzo,208.0,20.0,0.0,13.0
30,2,2025-01-22,2,Arroz integral cocido,200,Almuerzo,224.0,5.2,47.0,1.8
30,2,2025-01-22,48,Aguacate,150,Cena,240.0,3.0,13.5,22.5
30,2,2025-01-22,6,Pasta cocida,200,Cena,316.0,11.6,62.0,1.8
30,2,2025-01-22,56,Mantequilla de mani,30,MeriendaTarde,176.4,7.5,6.0,15.0
31,2,2025-01-24,19,Clara de huevo,250,Desayuno,130.0,27.5,1.75,0.5
31,2,2025-01-24,2,Arroz integral cocido,250,Almuerzo,280.0,6.5,58.75,2.25
31,2,2025-01-24,13,Carne molida res 90%,250,Almuerzo,440.0,65.0,0.0,20.0
31,2,2025-01-24,13,Carne molida res 90%,100,Cena,176.0,26.0,0.0,8.0
31,2,2025-01-24,41,Brócoli,100,Cena,34.0,2.8,6.6,0.4
31,2,2025-01-24,23,Yogur natural,100,MeriendaTarde,59.0,10.0,3.6,0.4
32,2,2025-01-26,23,Yogur natural,150,Desayuno,88.5,15.0,5.4,0.6
32,2,2025-01-26,44,Tomate,100,Almuerzo,18.0,0.9,3.9,0.2
32,2,2025-01-26,1,Arroz blanco cocido,200,Almuerzo,260.0,5.4,56.4,0.6
32,2,2025-01-26,42,Espinaca,150,Almuerzo,34.5,4.35,5.4,0.6
32,2,2025-01-26,13,Carne molida res 90%,100,Cena,176.0,26.0,0.0,8.0
32,2,2025-01-26,33,Naranja,100,MeriendaTarde,47.0,0.9,12.0,0.1
33,2,2025-01-30,4,Pan integral,200,Desayuno,494.0,26.0,82.0,6.8
